file	producer_bucket	has_struct_layer	separable_cut_crease	n_struct_layers
021222_033815-571916.pdf	bcsi_packdesign			0
021222_033825-958321.pdf	bcsi_packdesign			0
021222_072644-395985.PDF	bcsi_packdesign			0
021222_072653-477368.pdf	bcsi_packdesign			0
021222_085115-288660.pdf	adobe			0
021222_085126-231692.pdf	bcsi_packdesign			0
021222_085132-816750.PDF	bcsi_packdesign			0
021222_085604-845314.pdf	other			0
021222_085750-114059.pdf	other			0
030123_001823-836539.pdf	adobe			0
030123_004949-715944.pdf	adobe			0
030123_013921-309829.pdf	adobe			0
030123_015849-957024.pdf	office_print			0
030123_020109-986245.PDF	bcsi_packdesign			0
030123_020112-884177.pdf	bcsi_packdesign			0
030123_060114-897329.pdf	adobe			0
030123_070855-894451.pdf	cairo			0
030123_073517-672484.pdf	office_print			0
030123_074721-144267.PDF	adobe			0
030123_075122-221210.pdf	adobe			0
030123_075137-744772.pdf	office_print			0
030123_075336-605065.pdf	adobe			0
030123_080818-849810.pdf	adobe			0
030123_080833-575579.pdf	office_print			0
030123_080848-221693.pdf	other			0
030123_080915-459471.pdf	other			0
030123_080951-102324.pdf	adobe			0
030123_081358-506443.pdf	other			0
030123_081404-725761.pdf	adobe			0
030123_090159-694045.pdf	adobe	Y	Y	1
030123_090206-496618.pdf	adobe			0
030223_003638-723266.pdf	adobe			0
030223_004115-898288.pdf	adobe			0
030223_013735-403444.pdf	bcsi_packdesign			0
030223_015523-679145.pdf	cairo			0
030223_031003-788251.pdf	other			0
030223_043922-274760.PDF	adobe			0
030223_043928-257182.pdf	adobe	Y	Y	1
030223_044140-295929.pdf	other			0
030223_045053-463715.pdf	other			0
030223_052236-268352.pdf	office_print			0
030223_054923-138736.pdf	bcsi_packdesign			0
030223_054930-589234.pdf	bcsi_packdesign			0
030223_060856-259550.pdf	adobe	Y	Y	1
030223_060859-224187.PDF	adobe			0
030223_062711-862077.PDF	adobe			0
030223_062714-261480.pdf	adobe	Y	Y	1
030223_062717-761920.pdf	other			0
030223_063201-493236.PDF	bcsi_packdesign			0
030223_065544-107514.pdf	bcsi_packdesign			0
030223_065651-739150.pdf	other			0
030223_070455-458329.pdf	office_print			0
030323_000607-704018.PDF	bcsi_packdesign			0
030323_012250-794321.pdf	office_print			0
030323_012256-187690.pdf	adobe			0
030323_012301-924715.pdf	adobe			0
030323_020207-499769.pdf	adobe	Y	Y	1
030323_023004-425837.pdf	adobe			0
030323_023707-835250.pdf	other			0
030323_025516-689272.pdf	other			0
030323_025526-846721.PDF	bcsi_packdesign			0
030323_025531-283672.pdf	bcsi_packdesign			0
030323_062246-849452.pdf	adobe			0
030323_063848-763035.PDF	bcsi_packdesign			0
030323_064204-575067.PDF	bcsi_packdesign			0
030323_065013-948112.pdf	adobe			0
030323_065229-544375.PDF	bcsi_packdesign			0
030323_072710-933251.pdf	adobe	Y	Y	1
030323_072740-989488.pdf	adobe	Y	Y	1
030323_080934-463230.pdf	adobe			0
030323_081648-536084.PDF	bcsi_packdesign			0
030323_081835-333494.PDF	bcsi_packdesign			0
030323_091904-812913.pdf	adobe	Y	Y	1
030423_015757-605878.pdf	adobe			0
030423_015803-813214.pdf	adobe			0
030423_015808-222981.pdf	adobe			0
030423_015812-125985.pdf	adobe			0
030423_015817-483895.pdf	adobe			0
030423_015827-318631.PDF	bcsi_packdesign			0
030423_015831-835735.pdf	adobe			0
030423_030555-916368.PDF	bcsi_packdesign			0
030423_030606-681113.pdf	bcsi_packdesign			0
030423_064722-509139.pdf	other			0
030423_082623-279648.pdf	adobe	Y	Y	1
030423_082628-334581.PDF	adobe			0
030423_095354-163644.pdf	cairo			0
030523_021304-605486.PDF	bcsi_packdesign			0
030523_021310-699389.pdf	adobe			0
030523_024207-706566.PDF	bcsi_packdesign			0
030523_024214-608482.pdf	bcsi_packdesign			0
030523_024616-364124.PDF	bcsi_packdesign			0
030523_024621-835342.pdf	bcsi_packdesign			0
030523_024758-464975.PDF	adobe			0
030523_024805-864627.pdf	bcsi_packdesign			0
030523_024854-625366.PDF	adobe			0
030523_024858-878948.pdf	bcsi_packdesign			0
030523_024959-813570.PDF	bcsi_packdesign			0
030523_025004-383564.pdf	bcsi_packdesign			0
030523_025257-722973.PDF	bcsi_packdesign			0
030523_025302-636233.pdf	bcsi_packdesign			0
030523_031645-154029.PDF	adobe			0
030523_031656-492396.pdf	adobe	Y	Y	1
